Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,LBH,LBA,LBD,WHH,WHA,WHD
20120818,Arsenal,Sunderland,0,0,D,1.4,8.0,4.5,1.44,8.0,4.0
20120818,Fulham,Norwich,5,0,H,1.8,4.5,3.5,1.85,4.5,3.3
20120818,Newcastle,Tottenham,2,1,H,2.6,2.7,3.3,2.7,2.8,3.0
20120818,QPR,Swansea,0,5,A,2.0,3.75,3.4,2.0,3.8,3.3
20120818,Reading,Stoke,1,1,D,2.4,2.88,3.3,2.4,2.9,3.3
20120818,West Brom,Liverpool,3,0,H,3.75,1.95,3.5,3.8,2.0,3.3
20120818,West Ham,Aston Villa,1,0,H,2.25,3.1,3.3,2.3,3.2,3.2
20120819,Man City,Southampton,3,2,H,1.17,15.0,7.0,1.2,15.0,6.0
20120819,Wigan,Chelsea,0,2,A,6.5,1.53,3.8,5.5,1.67,3.6
20120820,Everton,Man United,1,0,H,4.0,1.85,3.6,4.33,1.91,3.3
20120822,Chelsea,Reading,4,2,H,1.25,11.0,6.0,1.29,10.0,5.5
20120825,Aston Villa,Everton,1,3,A,2.75,2.5,3.3,2.88,2.5,3.2
20120825,Chelsea,Newcastle,2,0,H,1.5,6.5,4.0,1.5,6.5,4.2
20120825,Man United,Fulham,3,2,H,1.32,10.0,5.15,1.35,9.0,4.8
20120825,Norwich,QPR,1,1,D,2.38,2.88,3.4,2.38,2.9,3.4
20120825,Southampton,Wigan,0,2,A,2.1,3.5,3.3,2.15,3.25,3.5
20120825,Swansea,West Ham,3,0,H,2.1,3.5,3.25,2.1,3.5,3.4
20120825,Tottenham,West Brom,1,1,D,1.5,6.5,4.0,1.55,6.0,4.0
20120826,Liverpool,Man City,2,2,D,3.1,2.25,3.3,2.9,2.38,3.4
20120826,Stoke,Arsenal,0,0,D,3.75,2.0,3.3,3.3,2.2,3.3
20120901,Man City,QPR,3,1,H,1.2,13.0,6.5,1.2,11.0,7.0
20120901,Swansea,Sunderland,2,2,D,2.2,3.3,3.3,2.15,3.5,3.25
20120901,Tottenham,Norwich,1,1,D,1.4,8.0,4.5,1.4,7.0,5.0
20120901,West Brom,Everton,2,0,H,2.88,2.4,3.3,2.9,2.38,3.4
20120901,West Ham,Fulham,3,0,H,2.5,2.8,3.25,2.4,2.88,3.4
20120901,Wigan,Stoke,2,2,D,2.25,3.25,3.25,2.25,3.3,3.2
20120902,Liverpool,Arsenal,0,2,A,2.1,3.6,3.2,2.05,3.6,3.4
20120902,Newcastle,Aston Villa,1,1,D,1.62,5.5,3.75,1.67,5.0,3.8
20120902,Southampton,Man United,2,3,A,6.5,1.53,4.0,5.0,1.6,4.2
20120915,Arsenal,Southampton,6,1,H,1.36,9.0,4.5,1.4,10.0,4.0
20120915,Aston Villa,Swansea,2,0,H,2.25,3.1,3.3,2.4,3.1,3.1
20120915,Fulham,West Brom,3,0,H,2.0,3.75,3.4,2.15,3.6,3.1
20120915,Man United,Wigan,4,0,H,1.22,12.0,6.0,1.29,12.0,5.0
20120915,Norwich,West Ham,0,0,D,2.3,3.0,3.4,2.5,2.9,3.1
20120915,QPR,Chelsea,0,0,D,4.5,1.8,3.5,4.5,1.91,3.1
20120915,Stoke,Man City,1,1,D,5.0,1.73,3.5,5.5,1.75,3.2
20120915,Sunderland,Liverpool,1,1,D,3.2,2.25,3.25,3.2,2.3,3.1
20120916,Reading,Tottenham,1,3,A,3.6,2.0,3.5,3.75,2.1,3.1
20120917,Everton,Newcastle,2,2,D,1.85,4.33,3.4,1.8,5.0,3.2
20120922,Chelsea,Stoke,1,0,H,1.29,8.0,4.5,1.4,10.0,4.0
20120922,Southampton,Aston Villa,4,1,H,2.38,2.6,3.2,2.5,3.0,3.0
20120922,Swansea,Everton,0,3,A,2.5,2.38,3.25,3.0,2.45,3.1
20120922,West Brom,Reading,1,0,H,1.8,3.5,3.5,1.85,4.5,3.3
20120922,West Ham,Sunderland,1,1,D,2.25,2.75,3.25,2.25,3.4,3.1
20120922,Wigan,Fulham,1,2,A,2.38,2.6,3.2,2.5,3.0,3.0
20120923,Liverpool,Man United,1,2,A,2.7,2.25,3.2,2.8,2.8,2.88
20120923,Man City,Arsenal,1,1,D,1.62,4.5,3.5,1.8,4.5,3.5
20120923,Newcastle,Norwich,1,0,H,1.53,5.0,3.6,1.85,4.5,3.3
20120923,Tottenham,QPR,2,1,H,1.44,6.0,3.75,1.53,6.0,4.0
20120929,Arsenal,Chelsea,1,2,A,2.1,3.4,3.3,2.25,3.4,3.1
20120929,Everton,Southampton,3,1,H,1.44,7.5,4.2,1.44,7.5,4.2
20120929,Fulham,Man City,1,2,A,4.5,1.8,3.5,4.5,1.91,3.1
20120929,Man United,Tottenham,2,3,A,1.53,6.0,4.0,1.62,6.0,3.6
20120929,Norwich,Liverpool,2,5,A,4.33,1.83,3.5,4.8,1.83,3.2
20120929,Reading,Newcastle,2,2,D,2.9,2.38,3.3,3.0,2.5,3.0
20120929,Stoke,Swansea,2,0,H,1.91,4.0,3.4,1.95,4.33,3.1
20120929,Sunderland,Wigan,1,0,H,1.91,4.0,3.4,2.1,3.75,3.1
20120930,Aston Villa,West Brom,1,1,D,2.4,2.88,3.3,2.5,3.0,3.0
20121001,QPR,West Ham,1,2,A,2.05,3.6,3.3,2.15,3.6,3.1
20121006,Chelsea,Norwich,4,1,H,1.22,13.0,6.0,1.25,15.0,5.0
20121006,Man City,Sunderland,3,0,H,1.29,11.0,5.0,1.3,11.0,5.0
20121006,Swansea,Reading,2,2,D,2.0,3.75,3.3,2.05,4.0,3.1
20121006,West Brom,QPR,3,2,H,1.83,4.2,3.6,1.91,4.33,3.2
20121006,West Ham,Arsenal,1,3,A,4.2,1.83,3.5,4.0,2.0,3.2
20121006,Wigan,Everton,2,2,D,3.75,2.0,3.4,4.0,2.05,3.1
